TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
315987585.98664665,00000000-0000-0000-0000-000000160938,OTHERS,1695.174052611167,534.9287537287921,PIT
315987586.0892076,00000000-0000-0000-0000-000000160938,OTHERS,1695.8074528412376,535.4824757492877,PIT
315987586.1974227,00000000-0000-0000-0000-000000160938,OTHERS,1696.2488302532074,535.8625174899705,PIT
315987586.28619725,00000000-0000-0000-0000-000000160938,OTHERS,1696.5813546228526,536.1687878452789,PIT
315987586.39403814,00000000-0000-0000-0000-000000160938,OTHERS,1696.9496792524371,536.4958658040708,PIT
315987586.491998,00000000-0000-0000-0000-000000160938,OTHERS,1697.2883500818548,536.8370733929319,PIT
315987586.5922095,00000000-0000-0000-0000-000000160938,OTHERS,1697.6837272790494,537.1759079080745,PIT
315987586.6906616,00000000-0000-0000-0000-000000160938,OTHERS,1697.9910505792775,537.4800608524808,PIT
315987586.79268485,00000000-0000-0000-0000-000000160938,OTHERS,1698.3269626168124,537.7968564170138,PIT
315987586.8892897,00000000-0000-0000-0000-000000160938,OTHERS,1698.4010977410408,537.8990398440527,PIT
315987586.99998784,00000000-0000-0000-0000-000000160938,OTHERS,1698.594174210636,538.1246841008258,PIT
315987587.09056664,00000000-0000-0000-0000-000000160938,OTHERS,1698.608883905101,538.2014899069841,PIT
315987587.19219995,00000000-0000-0000-0000-000000160938,OTHERS,1698.5693543746308,538.2941624749908,PIT
315987587.29387814,00000000-0000-0000-0000-000000160938,OTHERS,1698.6189131069773,538.4927473530507,PIT
315987587.3897231,00000000-0000-0000-0000-000000160938,OTHERS,1699.8878132554105,539.3465409536714,PIT
315987587.4909267,00000000-0000-0000-0000-000000160938,OTHERS,1700.160157906188,539.6412363502609,PIT
315987587.590875,00000000-0000-0000-0000-000000160938,OTHERS,1700.4109511072284,539.854589081801,PIT
315987587.68970144,00000000-0000-0000-0000-000000160938,OTHERS,1700.6310942202383,540.0367776469467,PIT
315987587.7882595,00000000-0000-0000-0000-000000160938,OTHERS,1700.8605378973214,540.193694524281,PIT
315987587.88681114,00000000-0000-0000-0000-000000160938,OTHERS,1701.0441626349225,540.3259123399966,PIT
315987587.98719645,00000000-0000-0000-0000-000000160938,OTHERS,1701.3392828765814,540.4420398888396,PIT
315987588.0905359,00000000-0000-0000-0000-000000160938,OTHERS,1701.3745522541717,540.5093719010274,PIT
